"","Hummingbird","Low","m","High","Index"
"1","White-whiskered Hermit",1340,1397.9170984456,1606.4,1
"2","Andean Emerald",1370,1416.41666666667,1588.5,1
"3","Stripe-throated Hermit",1360,1420.42545454545,1640,1
"4","Rufous-tailed Hummingbird",1368.5,1430.63636363636,1690,1
"5","Crowned Woodnymph",1343.5,1466.71428571429,2300,1
"6","Wedge-billed Hummingbird",1331,1616.85,2038.5,3
"7","Purple-bibbed Whitetip",1370,1683.5,2130,3
"8","Green-crowned Brilliant",1340,1786.5,2160,3
"9","Booted Racket-tail",1369.9,1790.86842105263,2200,3
"10","Tawny-bellied Hermit",1378,1894.48884381339,2280,3
"11","Sparkling Violetear",1632,1896.57534246575,2092,3
"12","Brown Inca",1585.4,1924.43869209809,2221,3
"13","Fawn-breasted Brilliant",1830,1931.62790697674,2000,2
"14","Violet-tailed Sylph",1730.9,2027.53389830508,2354,3
"15","Green-fronted Lancebill",1811.5,2102.40740740741,2320,2
"16","Buff-tailed Coronet",1960,2255.33333333333,2460,2
"17","Hoary Puffleg",2110,2290,2381.5,2
"18","Collared Inca",1950,2291.93333333333,2460,2
"19","Gorgeted Sunangel",1850,2307.57961783439,2462,2
"20","Speckled Hummingbird",2143,2353.36448598131,2457,2
