"","Plant","n"
"1","Guzmania squarrosa",154
"2","Pitcairnia nigra",100
"3","Justicia secunda",32
"4","Calathea ischnosiphonoides",28
"5","Burmeistera multiflora",19
"6","Elleanthus robustus",18
"7","Guzmania lehmanniana",15
"8","Sertifera purpurea",10
"9","Centropogon nigricans",8
"10","Kohleria villosa",7
"11","Drymonia brochidodroma",6
"12","Psammisia ecuadorensis",6
"13","Centropogon comosus",5
"14","Burmeistera cylindrocarpa",4
"15","Sp 1.",4
"16","Zingibiraceae sp.",4
"17","Cavendishia tarapotana",2
"18","Gasteranthus pansamalanus",2
"19","Fuschia macrostigma",1
"20","Guzmania fusispica",1
"21","Mikania websteri",1
